id	molecular_formula	name	inchi	inchi_key
HMDB0001232	C6H5NO3	4-Nitrophenol	InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H	BTJIUGUIPKRLHP-UHFFFAOYSA-N
HMDB0001238	C12H14N2O2	N-Acetylserotonin	InChI=1S/C12H14N2O2/c1-8(15)13-5-4-9-7-14-12-3-2-10(16)6-11(9)12/h2-3,6-7,14,16H,4-5H2,1H3,(H,13,15)	MVAWJSIDNICKHF-UHFFFAOYSA-N
HMDB0001247	Al	Aluminum	InChI=1S/Al	XAGFODPZIPBFFR-UHFFFAOYSA-N
HMDB0001256	C10H26N4	Spermine	InChI=1S/C10H26N4/c11-5-3-9-13-7-1-2-8-14-10-4-6-12/h13-14H,1-12H2	PFNFFQXMRSDOHW-UHFFFAOYSA-N
HMDB0001257	C7H19N3	Spermidine	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	ATHGHQPFGPMSJY-UHFFFAOYSA-N
HMDB0001259	C4H6O3	Succinic acid semialdehyde	InChI=1S/C4H6O3/c5-3-1-2-4(6)7/h3H,1-2H2,(H,6,7)	UIUJIQZEACWQSV-UHFFFAOYSA-N
HMDB0001262	C18H32O16	Maltotriose	InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2/t4-,5-,6-,7-,8+,9-,10-,11-,12-,13-,14-,15-,16?,17-,18-/m1/s1	FYGDTMLNYKFZSV-DZOUCCHMSA-N
HMDB0001263	C6H11NO3	Allysine	InChI=1S/C6H11NO3/c7-5(6(9)10)3-1-2-4-8/h4-5H,1-3,7H2,(H,9,10)/t5-/m0/s1	GFXYTQPNNXGICT-YFKPBYRVSA-N
HMDB0001264	C6H6O6	Dehydroascorbic acid	InChI=1S/C6H6O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8H,1H2/t2-,5+/m0/s1	SBJKKFFYIZUCET-JLAZNSOCSA-N
HMDB0001266	C6H12O6	L-Sorbose	InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4+,5-,6+/m0/s1	LKDRXBCSQODPBY-BGPJRJDNSA-N
HMDB0001272	C16H22N2O6	Nicotine glucuronide	InChI=1S/C16H22N2O6/c1-17-6-3-5-10(17)9-4-2-7-18(8-9)15-13(21)11(19)12(20)14(24-15)16(22)23/h2,4,7-8,10-15,19-21H,3,5-6H2,1H3/t10-,11-,12-,13+,14-,15-/m0/s1	SAWAIULJDYFLPD-SOAFEQHCSA-N
